"user_id","property_id","created_at"
303,952,2025-02-26 01:17:49.091 +0000
303,950,2025-02-26 01:18:17.736 +0000
303,955,2025-02-26 13:46:11.383 +0000
3065,957,2025-02-26 16:28:45.041 +0000
3065,955,2025-02-26 16:28:57.112 +0000
3065,953,2025-02-26 16:29:17.755 +0000
3065,952,2025-02-26 16:29:23.607 +0000
3065,947,2025-02-26 16:29:48.102 +0000
3065,938,2025-02-26 16:30:00.030 +0000
3065,934,2025-02-26 16:30:11.562 +0000
3065,933,2025-02-26 16:30:15.387 +0000
3065,932,2025-02-26 16:30:24.402 +0000
3065,950,2025-02-26 16:32:25.873 +0000
287,955,2025-02-26 17:43:49.838 +0000
4248,685,2025-02-26 20:22:13.058 +0000
4248,552,2025-02-26 20:22:51.450 +0000
4241,860,2025-02-27 16:26:54.766 +0000
4241,810,2025-02-27 16:27:10.503 +0000
1294,953,2025-02-27 17:58:06.193 +0000
1294,940,2025-02-27 17:58:12.008 +0000
1294,901,2025-02-27 17:58:34.343 +0000
3689,957,2025-02-27 21:23:56.737 +0000
3689,927,2025-02-27 21:31:40.620 +0000
3689,923,2025-02-27 21:31:50.977 +0000
4320,947,2025-02-27 22:29:54.989 +0000
3809,939,2025-02-28 01:29:18.855 +0000
3472,846,2025-02-28 22:34:30.821 +0000
3472,933,2025-02-28 22:34:45.610 +0000
4153,923,2025-03-01 13:10:43.476 +0000
65,680,2025-03-02 15:29:53.483 +0000
4427,947,2025-03-02 23:22:41.752 +0000
4450,947,2025-03-03 04:27:15.246 +0000
1898,924,2025-03-03 13:01:08.820 +0000
1448,955,2025-03-03 13:05:00.463 +0000
3791,752,2025-03-03 13:40:53.817 +0000
609,876,2025-03-03 21:04:47.273 +0000
609,891,2025-03-03 21:04:57.201 +0000
609,900,2025-03-03 21:05:03.453 +0000
392,902,2025-03-03 22:43:00.217 +0000
392,695,2025-03-03 22:43:27.904 +0000
2337,805,2025-03-05 15:31:15.838 +0000
2337,816,2025-03-05 15:32:15.474 +0000
1704,920,2025-03-05 15:40:48.689 +0000
490,949,2025-03-06 18:34:18.092 +0000
287,952,2025-03-06 20:17:36.653 +0000
287,947,2025-03-06 20:22:02.237 +0000
1343,952,2025-03-06 20:55:03.370 +0000
3889,939,2025-03-07 09:47:57.584 +0000
4641,707,2025-03-08 19:14:15.713 +0000
4665,957,2025-03-09 06:01:09.779 +0000
4704,924,2025-03-09 21:47:44.097 +0000
1868,928,2025-03-10 03:52:05.826 +0000
303,948,2025-03-10 13:37:44.954 +0000
4756,937,2025-03-10 22:11:47.177 +0000
4646,902,2025-03-11 09:01:19.856 +0000
4773,892,2025-03-11 11:00:25.327 +0000
4773,879,2025-03-11 11:01:14.230 +0000
4773,873,2025-03-11 11:01:23.907 +0000
4773,634,2025-03-11 11:01:29.309 +0000
4773,874,2025-03-11 11:02:27.259 +0000
4773,681,2025-03-11 11:02:30.354 +0000
4538,800,2025-03-11 21:24:33.070 +0000
3256,952,2025-03-11 22:06:00.181 +0000
3256,939,2025-03-11 22:06:57.856 +0000
303,954,2025-03-12 14:51:04.172 +0000
303,947,2025-03-12 15:03:01.555 +0000
303,953,2025-03-12 17:05:55.686 +0000
4870,902,2025-03-13 14:08:25.429 +0000
4889,952,2025-03-13 23:37:05.171 +0000
56,955,2025-03-14 13:56:00.361 +0000
56,948,2025-03-14 13:56:05.154 +0000
