"id","created_at","uuid","address_line_1","address_line_2","city","postcode","display_address","description","short_description","bedroom_count","bathroom_count","reception_count","property_type","available_at","cost","contract_length","is_bills_included","nearest_stations","latitude","longitude","source"
549,2025-02-25 15:37:27.964 +0000,f159e450-b5fd-4f2c-a073-4aa512fa26b7,Pan Peninsula Square,,London,E14 9HL,"Pan Peninsula Square, London, E14 9HL","An exceptional 2 / 3 bedroom premier apartment with a 260sq ft terrace on the 34th floor of the West Tower of Pan Peninsula. The apartment provides outstanding Canary Wharf & views of the Thames, O2 Centre & Thames Barrier in the distance, commanding the North / East corner of the building. Featuring fixtures & fittings of the highest calibre throughout & exceptional on-site facilities including: 24hr concierge, gym, swimming pool, jacuzzi pool, & sauna; residents' cinema & 48th floor cocktail bar. Valet parking for 1 vehicle is included. EPC rating C","An exceptional 3 bedroom premier apartment with large terrace on the 34th floor of the of Pan Peninsula. The apartment provides outstanding  views of Canary Wharf & the Thames, O2 & the development boasts state of the art facilities. EPC rating C.",3,3,1,FLAT,IMMEDIATELY,5000,LT_SIX_MONTHS,false,"null",51.500035,-0.017863,CHESTERTONS
550,2025-02-25 15:37:29.350 +0000,"0b793a89-64bb-4260-bdfc-5cb3270a6282","Legacy Building, 1 Viaduct Gardens",,London,SW11 7AY,"Legacy Building, 1 Viaduct Gardens, London, SW11 7AY","Spacious two bedroom, two bathroom apartment on the fifth floor of Embassy Gardens with a private balcony facing the communal gardens.<br/><br/>The apartment features a bright and spacious open plan reception and living which leads out to a large balcony overlooking the shared garden. The apartment further benefits two double bedrooms and two large bathrooms (one is en-suite). <br/><br/>Embassy Gardens offers exclusive residents-only amenities like no other in London – including two state-of-the-art gyms, luxurious spa facilities, indoor pool, 24-hour concierge and the world-famous SkyPool. <br/><br/>Apartments that embody the best in new British design. The Modern at Embassy Gardens offers a fresh, luxurious and highly contemporary take on apartment living in London right now. The Modern features 21 floors of light-filled, and contemporary apartments in a building positioned to maximise views over the river, the city and the greenery of Embassy Gardens and the Linear Park.  <br/><br/>Embassy Gardens provides easy access into central London with both Nine Elms and Battersea Power Station tube stops just a short walk away.","Spacious two bedroom, two bathroom apartment on the fifth floor of Embassy Gardens with a private balcony facing the communal gardens.",2,2,1,FLAT,IMMEDIATELY,5000,TWELVE_MONTHS,false,"null",51.481964,-0.130297,CHESTERTONS
551,2025-02-25 15:37:30.802 +0000,"94c579ee-e9b4-43ff-ad3c-d793fc48a019","Durward House, 31 Kensington Court",,London,W8 5BH,"Durward House, 31 Kensington Court, London, W8 5BH","A delightful 3 bedroom apartment in this sought after portered mansion block situated in the heart of Kensington. <br/><br/>Comprising three bedrooms, two bathrooms, reception room, separate fitted kitchen. The property is spacious and benefits from high ceilings and beautiful large windows allowing a lot of natural light in the living room. Further benefiting from ample storage all throughout the property.<br/><br/>A short distance to Kensington High Street tube and Kensington Palace Gardens.",A delightful 3 bedroom apartment in this sought after portered mansion block situated in the heart of Kensington.,3,2,1,FLAT,IMMEDIATELY,5000,SIX_MONTHS,false,"null",51.501514,-0.186807,CHESTERTONS
555,2025-02-25 15:37:41.662 +0000,c527a9a8-dc54-4ea4-a9b5-a74e2b2a8d21,Kensington Court,,London,W8 5DN,"Kensington Court, London, W8 5DN","A beautifully presented duplex apartment, featuring two bedrooms, situated on the ground and lower ground floors of a stunning mansion building in Kensington Court.<br/><br/>The apartment boasts an open-plan kitchen and reception area, elegantly furnished with stylish touches and wooden floors throughout. It includes a spacious balcony, two double bedrooms with ample storage, two contemporary bathrooms (one en-suite), and an additional outside patio. The apartment is offered furnished.<br/><br/>Kensington Court is enviably located within easy reach of the restaurants, amenities, and transport links Kensington High Street has to offer. The property provides easy access to the independent shops and cafes on nearby Thackeray Street, while the green open spaces of Kensington Gardens and Hyde Park are nearby.","A beautifully presented duplex apartment, featuring two bedrooms, situated on the ground and lower ground floors of a stunning mansion building in Kensington Court.",2,2,0,FLAT,"2025-03-10",4766,LT_SIX_MONTHS,false,"null",51.501162,-0.186871,CHESTERTONS
557,2025-02-25 15:37:42.432 +0000,f266db38-b6ff-4846-8272-5574fd76d701,"Princes Square, Bayswater",,London,W2 4NP,"Princes Square, Bayswater, London, W2 4NP","Chestertons are delighted to present this brand new refurbished apartment on the second floor of this stunning period Victorian building. <br/><br/>This charming two bedroom, one bathroom apartment has been completely refurbished from the ground up and now includes a brand new fully integrated kitchen, modern bathroom with LED lighting and low energy consuming bulbs, correctly placed modem radiators all with correct BVT placement ensuring maximum heat coverage within each room and efficiency is obtained along with all new wiring and plumbing.<br/><br/>Within the communal areas of the building, all fire regulations and precautions have been implemented including FD30 fire doors within each apartment, emergency communal lighting and automatic PIR motion sensors lighting per floor.<br/><br/>CCTV cameras have been installed throughout the communal areas of the buildings and also on the exterior of the buildings proving comfort and security for its residents. <br/><br/>WIFI has also been installed into each apartment already making it an easy process for a tenant to move in and be online immediately.<br/><br/>Further amenities include access to the communal gardens square and housekeeping service provided by the hotel next door to both No.2 and No.3 Princes Square, where tenants will be able to make use of this service along with the hotel taking in packages for the residents.<br/><br/>Transport links and amenities of Westbourne Grove, Bayswater and Notting Hill Gate are all nearby.","A charming completely refurbished two bedroom apartment set on the second floor of this impressive Victorian conversion, with access to communal gardens",2,1,1,FLAT,IMMEDIATELY,4766,TWELVE_MONTHS,false,"null",51.512787,-0.192631,CHESTERTONS
558,2025-02-25 15:37:43.339 +0000,"1f1dece3-1a68-442c-9bae-4ed8326abb70","Gable House, 30 Woodborough Road",,London,SW15 6PZ,"Gable House, 30 Woodborough Road, London, SW15 6PZ","SHORT LET Discover the perfect blend of comfort and style in this modern, spacious flat. The home has a trendy new style, laid out in a fantastic space.<br/>Discover the perfect blend of comfort and style in this modern, spacious flat. The home has a trendy new style, laid out in a fantastic space that is equal parts spacious and cosy. The home is currently for sale so there could be viewings during your stay. We will send our housekeeping team to clean and tidy the home before the viewing takes place, which is completely free of charge.<br/><br/>This two-bed has been fantastically renovated with a modern minimalist style. Bright, airy, functional - it's the perfect spot for both tourists as well as professionals looking to get access to all the best London has to offer. The open plan living room and kitchen has been stylishly decorated with choice pieces of decor, and includes a sofa and armchair for you to cosy up on, as well as a flatscreen TV for you to kick back in front of. The room also benefits from a dining table which can easily seat up to four guests. The kitchen is equipped with high-spec amenities and is ready for you to cook up a storm. This modern, spacious flat offers a comfortable retreat with two inviting bedrooms, each furnished with a large bed to ensure a restful night’s sleep. With two bathrooms, one of these is an en-suite in the master bedroom, you'll enjoy the added convenience and privacy whether you're travelling with family or friends. Step out onto the balcony to enjoy a morning coffee or unwind after a day of exploring the vibrant neighbourhood. The home maintains an inviting vibe, and you'll feel completely at home whether you are kicking back on the sofa after a long day out or winding down on the balcony.<br/><br/>The apartment is currently for sale because of this, it must be prepared for viewings. Once a viewing is confirmed, we will send our housekeeping team to clean and tidy the home on the same day before the viewing takes place, which is completely free of charge. We’ll always let you know when a viewing is booked. Viewings typically last around 10 minutes. The nightly rate of the apartment is discounted as thanks for being accommodating.<br/><br/>You’ll have access to the home at all times. Because the home comes with self check-in, you’ll be able to check in any time after 3pm, but please be mindful of noise after 9pm. *KeyNest is 13-minute walk away from the property.<br/><br/>Please reach out through this listing if you have any questions, as I am always on call and available to my guests if needed.<br/><br/>Nestled in a positive, friendly neighbourhood, you'll find everything you need within easy reach. Local shops, charming cafes, and beautiful parks are just a short walk away, making it easy to immerse yourself in the local culture.<br/><br/>London is well connected by train stations, as well as buses, and the property is in a very pedestrian friendly area with multiple parks in easy reach. It is well connected to public transport and main roads. In addition, you’ll also be able to catch a bus or hail a London taxi or use Uber to get around.<br/><br/>The home is located on the upper level and guests who have difficulties with stairs may find it hard to access the apartment.<br/><br/>Please note the 10am tidy is an essential part of staying in this apartment. If you’re looking to get up bright and early to make the most of the city, you will find this apartment and the tidy, perfect for your stay. We’ll always let you know when a viewing from the estate agent is taking place. Typically viewings last around 10 minutes. There are no viewings on Saturdays after 4pm or on Sundays, so your relaxing time won't be interrupted. The tidy is free of charge, and what’s more, if there’s a viewing during your stay that leads to an offer, we will refund you the full cost of one night as a thank you! The home has lots of natural light and is beautifully bright throughout.<br/><br/>Note: Parking is available on a first come, first serve basis.<br/><br/>Please, no parties or smoking. Please be respectful of the neighbours and keep noise to a minimum after 9pm. If these rules are violated we will charge guests to cover the security call out fee and any additional expenses to cover their misbehaviour. By staying in this home you are agreeing to the clean and tidy service, and accommodating viewings as requested. We can't wait for you to enjoy home","(SHORT LET) Discover the perfect blend of comfort and style in this modern, spacious flat. The home has a trendy new style, laid out in a fantastic space.",2,2,1,FLAT,IMMEDIATELY,4766,LT_SIX_MONTHS,false,"null",51.461268,-0.234461,CHESTERTONS
563,2025-02-25 15:37:48.842 +0000,fcf35a3d-02f1-4c93-8198-bf7e88f42c60,"Somerset Court, 79-81 Lexham Gardens",,London,W8 6JN,"Somerset Court, 79-81 Lexham Gardens, London, W8 6JN","Stunning second floor apartment (with lift) offering two double bedrooms, one bathroom, guest cloakroom, fully integrated kitchen and separate utility area. <br/> <br/>The property benefits from high ceilings and access to a balcony from the master bedroom.   The property has also been newly decorated to a high standard and is carpeted throughout.","Stunning second floor apartment (with lift) offering two double bedrooms, one bathroom, guest cloakroom, fully integrated kitchen and separate utility area.",2,1,1,FLAT,IMMEDIATELY,4766,SIX_MONTHS,false,"null",51.495486,-0.194467,CHESTERTONS
554,2025-02-25 15:37:39.454 +0000,"1d276a40-bc68-4502-8979-98886dc36b00","Burney Avenue, Surbiton",,Surrey,KT5 8DF,"Burney Avenue, Surbiton, Surrey, KT5 8DF","This recently refurbished 6-bedroom property in Kingston is the ideal rental for a large group or family. The house comes fully furnished with modern finishes, offering a comfortable and convenient living space for all. Each of the six generously sized bedrooms is fully equipped with essential furnishings, providing ample space for residents. The property also features three well-appointed bathrooms, ensuring convenience and privacy for everyone.<br/><br/>Outside, you’ll find a private garden, a perfect spot for relaxing or entertaining guests and a driveway which provides off-street parking. With an HMO (House in Multiple Occupation) license, the property is suitable for shared living, offering flexibility for groups of tenants.<br/><br/>Situated in a highly desirable location, this home is close to transport links, local amenities, and Kingston's bustling town center, providing everything you need just moments away. Whether you're a group of professionals, students, or a large family, this property offers both comfort and convenience.",This recently refurbished 6-bedroom property in Kingston is the ideal rental for a large group or family. The house comes fully furnished with modern finishes.,6,3,0,FLAT,IMMEDIATELY,4995,LT_SIX_MONTHS,false,"null",51.396906,-0.293185,CHESTERTONS
556,2025-02-25 15:37:41.844 +0000,"9f925b4b-f16d-473e-a30e-02857db0b628","Jack Freedman House, 15 Coverdale Road",,London,NW2 4BE,"Jack Freedman House, 15 Coverdale Road, London, NW2 4BE","Step into modern comfort and convenience with this spacious two-bedroom, two-bathroom apartment. Whether you're a solo traveler, a couple seeking a romantic getaway, or a small family exploring the city, this cozy retreat offers the perfect blend of style and functionality. As you enter, you'll be greeted by a contemporary design that exudes warmth and relaxation. Sink into the plush sofas in the living area, where natural light floods through the windows, creating an inviting atmosphere for unwinding after a day of exploring the city. Unleash your inner chef in our fully-equipped kitchen. From morning coffees to home-cooked dinners, this space is designed to make mealtime a delight. Step into a world of relaxation in our two thoughtfully furnished bedrooms. The bedrooms provide a serene sanctuary for a restful night's sleep, each thoughtfully appointed with cozy bedding and ample storage space for your belongings. With two bathrooms, morning routines are a breeze, whether you're getting ready for a day of sightseeing or preparing for a night out on the town. Need some fresh air? Step out onto the balcony and soak in the urban landscape while sipping your morning coffee or enjoying a glass of wine under the stars. This home maintains an inviting vibe, and you'll feel completely at home whether you are kicking back on the sofa after a long day out or enjoying some fresh breakfast in the kitchen.  The property also benefits from off street parking.","* SHORT LET* Step into modern comfort and convenience with this spacious two-bedroom, two-bathroom apartment.",2,2,0,FLAT,IMMEDIATELY,4983,LT_SIX_MONTHS,false,"null",51.545362,-0.213352,CHESTERTONS
559,2025-02-25 15:37:44.762 +0000,"1a3a62b4-b2c6-4f54-b5ec-2b4b6f2332a5","Princes Square, Bayswater",,London,W2 4NP,"Princes Square, Bayswater, London, W2 4NP","Chestertons are delighted to present this brand new refurbished apartment on the raised ground floor of this stunning period Victorian building. <br/><br/>This charming two bedroom, one bathroom apartment has been completely refurbished from the ground up and now includes a brand new fully integrated kitchen, modern bathroom with LED lighting and low energy consuming bulbs, correctly placed modem radiators all with correct BVT placement ensuring maximum heat coverage within each room and efficiency is obtained along with all new wiring and plumbing. Being on the raised ground floor, the apartment benefits from large floor to ceiling windows over looking a communal gardens square. <br/><br/>Within the communal areas of the building, all fire regulations and precautions have been implemented including FD30 fire doors within each apartment, emergency communal lighting and automatic PIR motion sensors lighting per floor.<br/><br/>CCTV cameras have been installed throughout the communal areas of the buildings and also on the exterior of the buildings proving comfort and security for its residents. <br/><br/>WIFI has also been installed into each apartment already making it an easy process for a tenant to move in and be online immediately.<br/><br/>Further amenities include access to the communal gardens square and housekeeping service provided by the hotel next door to both No.2 and No.3 Princes Square, where tenants will be able to make use of this service along with the hotel taking in packages for the residents.<br/><br/>Transport links and amenities of Westbourne Grove, Bayswater and Notting Hill Gate are all nearby.",A charming completely refurbished two bedroom apartment set on the first floor of this impressive Victorian conversion with balcony and communal gardens.,2,2,1,FLAT,IMMEDIATELY,4983,TWELVE_MONTHS,false,"null",51.512787,-0.192631,CHESTERTONS
