id,profile_id_1,profile_id_2,created_at
1224,216,2,2024-12-16 15:57:05.986404 +00:00
2,5,3,2024-12-16 15:57:05.986404 +00:00
1230,216,85,2024-12-16 15:57:05.986404 +00:00
4,1,4,2024-12-16 15:57:05.986404 +00:00
5,4,5,2024-12-16 15:57:05.986404 +00:00
6,4,3,2024-12-16 15:57:05.986404 +00:00
7,4,1,2024-12-16 15:57:05.986404 +00:00
8,1,3,2024-12-16 15:57:05.986404 +00:00
9,3,1,2024-12-16 15:57:05.986404 +00:00
10,6,2,2024-12-16 15:57:05.986404 +00:00
11,6,3,2024-12-16 15:57:05.986404 +00:00
12,6,4,2024-12-16 15:57:05.986404 +00:00
13,6,1,2024-12-16 15:57:05.986404 +00:00
14,8,2,2024-12-16 15:57:05.986404 +00:00
15,8,3,2024-12-16 15:57:05.986404 +00:00
16,8,4,2024-12-16 15:57:05.986404 +00:00
17,8,1,2024-12-16 15:57:05.986404 +00:00
18,8,5,2024-12-16 15:57:05.986404 +00:00
20,4,8,2024-12-16 15:57:05.986404 +00:00
23,6,8,2024-12-16 15:57:05.986404 +00:00
24,8,6,2024-12-16 15:57:05.986404 +00:00
25,10,6,2024-12-16 15:57:05.986404 +00:00
26,10,3,2024-12-16 15:57:05.986404 +00:00
27,10,8,2024-12-16 15:57:05.986404 +00:00
4597,388,488,2024-12-22 21:25:18.023399 +00:00
30,6,10,2024-12-16 15:57:05.986404 +00:00
31,8,10,2024-12-16 15:57:05.986404 +00:00
32,4,6,2024-12-16 15:57:05.986404 +00:00
1240,216,43,2024-12-16 15:57:05.986404 +00:00
34,1,11,2024-12-16 15:57:05.986404 +00:00
36,9,10,2024-12-16 15:57:05.986404 +00:00
37,9,1,2024-12-16 15:57:05.986404 +00:00
38,8,11,2024-12-16 15:57:05.986404 +00:00
39,9,3,2024-12-16 15:57:05.986404 +00:00
40,9,8,2024-12-16 15:57:05.986404 +00:00
41,9,6,2024-12-16 15:57:05.986404 +00:00
42,9,11,2024-12-16 15:57:05.986404 +00:00
43,11,1,2024-12-16 15:57:05.986404 +00:00
44,6,11,2024-12-16 15:57:05.986404 +00:00
45,4,10,2024-12-16 15:57:05.986404 +00:00
46,4,2,2024-12-16 15:57:05.986404 +00:00
47,15,6,2024-12-16 15:57:05.986404 +00:00
48,15,10,2024-12-16 15:57:05.986404 +00:00
49,15,1,2024-12-16 15:57:05.986404 +00:00
50,15,3,2024-12-16 15:57:05.986404 +00:00
51,15,11,2024-12-16 15:57:05.986404 +00:00
52,15,4,2024-12-16 15:57:05.986404 +00:00
53,15,9,2024-12-16 15:57:05.986404 +00:00
54,15,12,2024-12-16 15:57:05.986404 +00:00
56,15,8,2024-12-16 15:57:05.986404 +00:00
57,8,15,2024-12-16 15:57:05.986404 +00:00
58,8,12,2024-12-16 15:57:05.986404 +00:00
59,21,8,2024-12-16 15:57:05.986404 +00:00
60,6,15,2024-12-16 15:57:05.986404 +00:00
61,6,21,2024-12-16 15:57:05.986404 +00:00
62,8,21,2024-12-16 15:57:05.986404 +00:00
63,22,12,2024-12-16 15:57:05.986404 +00:00
64,22,8,2024-12-16 15:57:05.986404 +00:00
65,6,22,2024-12-16 15:57:05.986404 +00:00
67,22,9,2024-12-16 15:57:05.986404 +00:00
68,6,12,2024-12-16 15:57:05.986404 +00:00
69,6,9,2024-12-16 15:57:05.986404 +00:00
70,8,22,2024-12-16 15:57:05.986404 +00:00
71,23,11,2024-12-16 15:57:05.986404 +00:00
72,23,15,2024-12-16 15:57:05.986404 +00:00
73,23,8,2024-12-16 15:57:05.986404 +00:00
74,23,6,2024-12-16 15:57:05.986404 +00:00
75,23,1,2024-12-16 15:57:05.986404 +00:00
77,23,10,2024-12-16 15:57:05.986404 +00:00
78,23,21,2024-12-16 15:57:05.986404 +00:00
79,10,15,2024-12-16 15:57:05.986404 +00:00
80,15,23,2024-12-16 15:57:05.986404 +00:00
81,8,23,2024-12-16 15:57:05.986404 +00:00
82,23,9,2024-12-16 15:57:05.986404 +00:00
83,23,12,2024-12-16 15:57:05.986404 +00:00
84,8,9,2024-12-16 15:57:05.986404 +00:00
87,8,26,2024-12-16 15:57:05.986404 +00:00
88,26,1,2024-12-16 15:57:05.986404 +00:00
89,23,26,2024-12-16 15:57:05.986404 +00:00
91,27,12,2024-12-16 15:57:05.986404 +00:00
93,8,27,2024-12-16 15:57:05.986404 +00:00
94,8,28,2024-12-16 15:57:05.986404 +00:00
95,15,27,2024-12-16 15:57:05.986404 +00:00
97,15,26,2024-12-16 15:57:05.986404 +00:00
98,15,21,2024-12-16 15:57:05.986404 +00:00
99,29,1,2024-12-16 15:57:05.986404 +00:00
100,29,23,2024-12-16 15:57:05.986404 +00:00
101,29,8,2024-12-16 15:57:05.986404 +00:00
102,23,29,2024-12-16 15:57:05.986404 +00:00
103,15,29,2024-12-16 15:57:05.986404 +00:00
104,15,28,2024-12-16 15:57:05.986404 +00:00
105,8,29,2024-12-16 15:57:05.986404 +00:00
106,31,1,2024-12-16 15:57:05.986404 +00:00
107,31,23,2024-12-16 15:57:05.986404 +00:00
108,8,31,2024-12-16 15:57:05.986404 +00:00
109,31,8,2024-12-16 15:57:05.986404 +00:00
110,33,29,2024-12-16 15:57:05.986404 +00:00
112,34,1,2024-12-16 15:57:05.986404 +00:00
113,34,8,2024-12-16 15:57:05.986404 +00:00
114,23,31,2024-12-16 15:57:05.986404 +00:00
115,8,33,2024-12-16 15:57:05.986404 +00:00
116,23,33,2024-12-16 15:57:05.986404 +00:00
117,8,34,2024-12-16 15:57:05.986404 +00:00
118,23,34,2024-12-16 15:57:05.986404 +00:00
