"profile_1_id","profile_2_id","created_at","expires_at"
3685,2963,2025-02-28 12:46:11.582 +0000,2025-03-07 12:46:11.586 +0000
3685,3661,2025-02-28 12:46:49.138 +0000,2025-03-07 12:46:49.143 +0000
2223,867,2025-02-28 13:04:15.762 +0000,2025-03-07 13:04:15.767 +0000
2223,3194,2025-02-28 13:09:00.452 +0000,2025-03-07 13:09:00.458 +0000
3682,735,2025-02-28 13:37:25.644 +0000,2025-03-07 13:37:25.649 +0000
3593,3134,2025-02-28 14:11:24.140 +0000,2025-03-07 14:11:24.144 +0000
3484,2551,2025-03-05 12:44:46.183 +0000,2025-03-12 12:44:46.189 +0000
3838,3692,2025-03-05 12:46:03.916 +0000,2025-03-12 12:46:03.922 +0000
3838,970,2025-03-05 12:49:23.912 +0000,2025-03-12 12:49:23.917 +0000
3838,2728,2025-03-05 12:52:04.276 +0000,2025-03-12 12:52:04.282 +0000
3838,3598,2025-03-05 12:52:11.355 +0000,2025-03-12 12:52:11.361 +0000
2581,3134,2025-03-05 13:03:57.278 +0000,2025-03-12 13:03:57.283 +0000
3079,3645,2025-03-05 15:26:26.161 +0000,2025-03-12 15:26:26.168 +0000
3079,3462,2025-03-05 15:26:59.247 +0000,2025-03-12 15:26:59.252 +0000
3079,1028,2025-03-05 15:27:54.893 +0000,2025-03-12 15:27:54.899 +0000
2581,2599,2025-02-26 13:01:00.712 +0000,2025-03-05 13:01:00.717 +0000
2581,1569,2025-02-26 13:01:38.124 +0000,2025-03-05 13:01:38.130 +0000
580,3184,2025-02-26 13:03:35.619 +0000,2025-03-05 13:03:35.626 +0000
580,3276,2025-02-26 13:03:54.193 +0000,2025-03-05 13:03:54.198 +0000
271,3536,2025-02-26 01:21:15.048 +0000,2025-03-05 13:45:27.559 +0000
260,1596,2025-02-26 15:57:30.809 +0000,2025-03-05 15:57:30.813 +0000
3621,3618,2025-02-26 20:23:04.116 +0000,2025-03-05 20:23:04.120 +0000
3640,2182,2025-02-26 20:55:44.132 +0000,2025-03-05 20:56:06.786 +0000
3564,1474,2025-02-26 21:59:13.761 +0000,2025-03-05 21:59:13.766 +0000
419,3100,2025-03-01 00:33:32.563 +0000,2025-03-08 00:33:32.776 +0000
3631,3523,2025-02-27 12:29:40.523 +0000,2025-03-06 12:30:33.141 +0000
3621,1530,2025-02-26 20:24:27.158 +0000,2025-03-05 23:50:11.763 +0000
3656,3007,2025-02-27 13:08:21.753 +0000,2025-03-06 13:08:21.759 +0000
3656,2086,2025-02-27 13:09:41.356 +0000,2025-03-06 13:09:41.362 +0000
3085,2136,2025-02-27 13:15:45.420 +0000,2025-03-06 13:15:45.426 +0000
260,3390,2025-02-27 14:31:45.417 +0000,2025-03-06 14:31:45.422 +0000
3594,512,2025-02-27 14:33:22.373 +0000,2025-03-06 14:33:22.378 +0000
3594,15,2025-02-27 14:33:37.316 +0000,2025-03-06 14:33:37.322 +0000
3594,2394,2025-02-27 14:34:00.790 +0000,2025-03-06 14:34:00.795 +0000
3594,2371,2025-02-27 14:34:27.346 +0000,2025-03-06 14:34:27.352 +0000
3594,1531,2025-02-27 14:35:04.010 +0000,2025-03-06 14:35:04.015 +0000
3594,411,2025-02-27 14:35:22.274 +0000,2025-03-06 14:35:22.279 +0000
3594,3110,2025-02-27 14:35:27.871 +0000,2025-03-06 14:35:27.877 +0000
