"id","profile_id_1","profile_id_2","created_at"
1224,216,2,2024-12-16 15:57:05.986 +0000
2,5,3,2024-12-16 15:57:05.986 +0000
1230,216,85,2024-12-16 15:57:05.986 +0000
4,1,4,2024-12-16 15:57:05.986 +0000
5,4,5,2024-12-16 15:57:05.986 +0000
6,4,3,2024-12-16 15:57:05.986 +0000
7,4,1,2024-12-16 15:57:05.986 +0000
8,1,3,2024-12-16 15:57:05.986 +0000
9,3,1,2024-12-16 15:57:05.986 +0000
10,6,2,2024-12-16 15:57:05.986 +0000
11,6,3,2024-12-16 15:57:05.986 +0000
12,6,4,2024-12-16 15:57:05.986 +0000
13,6,1,2024-12-16 15:57:05.986 +0000
14,8,2,2024-12-16 15:57:05.986 +0000
15,8,3,2024-12-16 15:57:05.986 +0000
16,8,4,2024-12-16 15:57:05.986 +0000
17,8,1,2024-12-16 15:57:05.986 +0000
18,8,5,2024-12-16 15:57:05.986 +0000
9263,1551,512,2025-01-22 18:09:33.173 +0000
20,4,8,2024-12-16 15:57:05.986 +0000
9269,1551,1480,2025-01-22 18:10:12.258 +0000
9277,1553,448,2025-01-22 18:16:47.707 +0000
23,6,8,2024-12-16 15:57:05.986 +0000
24,8,6,2024-12-16 15:57:05.986 +0000
25,10,6,2024-12-16 15:57:05.986 +0000
26,10,3,2024-12-16 15:57:05.986 +0000
27,10,8,2024-12-16 15:57:05.986 +0000
4597,388,488,2024-12-22 21:25:18.023 +0000
9285,1555,448,2025-01-22 21:14:13.815 +0000
30,6,10,2024-12-16 15:57:05.986 +0000
31,8,10,2024-12-16 15:57:05.986 +0000
32,4,6,2024-12-16 15:57:05.986 +0000
1240,216,43,2024-12-16 15:57:05.986 +0000
34,1,11,2024-12-16 15:57:05.986 +0000
36,9,10,2024-12-16 15:57:05.986 +0000
37,9,1,2024-12-16 15:57:05.986 +0000
38,8,11,2024-12-16 15:57:05.986 +0000
39,9,3,2024-12-16 15:57:05.986 +0000
40,9,8,2024-12-16 15:57:05.986 +0000
41,9,6,2024-12-16 15:57:05.986 +0000
42,9,11,2024-12-16 15:57:05.986 +0000
43,11,1,2024-12-16 15:57:05.986 +0000
44,6,11,2024-12-16 15:57:05.986 +0000
45,4,10,2024-12-16 15:57:05.986 +0000
46,4,2,2024-12-16 15:57:05.986 +0000
47,15,6,2024-12-16 15:57:05.986 +0000
48,15,10,2024-12-16 15:57:05.986 +0000
49,15,1,2024-12-16 15:57:05.986 +0000
50,15,3,2024-12-16 15:57:05.986 +0000
51,15,11,2024-12-16 15:57:05.986 +0000
52,15,4,2024-12-16 15:57:05.986 +0000
53,15,9,2024-12-16 15:57:05.986 +0000
54,15,12,2024-12-16 15:57:05.986 +0000
9328,1573,745,2025-01-23 00:38:49.699 +0000
56,15,8,2024-12-16 15:57:05.986 +0000
57,8,15,2024-12-16 15:57:05.986 +0000
58,8,12,2024-12-16 15:57:05.986 +0000
59,21,8,2024-12-16 15:57:05.986 +0000
60,6,15,2024-12-16 15:57:05.986 +0000
61,6,21,2024-12-16 15:57:05.986 +0000
62,8,21,2024-12-16 15:57:05.986 +0000
63,22,12,2024-12-16 15:57:05.986 +0000
64,22,8,2024-12-16 15:57:05.986 +0000
65,6,22,2024-12-16 15:57:05.986 +0000
9352,443,1042,2025-01-23 02:26:05.114 +0000
67,22,9,2024-12-16 15:57:05.986 +0000
68,6,12,2024-12-16 15:57:05.986 +0000
69,6,9,2024-12-16 15:57:05.986 +0000
70,8,22,2024-12-16 15:57:05.986 +0000
71,23,11,2024-12-16 15:57:05.986 +0000
72,23,15,2024-12-16 15:57:05.986 +0000
73,23,8,2024-12-16 15:57:05.986 +0000
74,23,6,2024-12-16 15:57:05.986 +0000
75,23,1,2024-12-16 15:57:05.986 +0000
9353,1575,553,2025-01-23 04:24:46.316 +0000
77,23,10,2024-12-16 15:57:05.986 +0000
78,23,21,2024-12-16 15:57:05.986 +0000
79,10,15,2024-12-16 15:57:05.986 +0000
80,15,23,2024-12-16 15:57:05.986 +0000
81,8,23,2024-12-16 15:57:05.986 +0000
82,23,9,2024-12-16 15:57:05.986 +0000
83,23,12,2024-12-16 15:57:05.986 +0000
84,8,9,2024-12-16 15:57:05.986 +0000
9369,1169,352,2025-01-23 04:57:16.073 +0000
9376,1169,1283,2025-01-23 05:00:00.820 +0000
87,8,26,2024-12-16 15:57:05.986 +0000
88,26,1,2024-12-16 15:57:05.986 +0000
89,23,26,2024-12-16 15:57:05.986 +0000
9405,1482,1223,2025-01-23 13:02:07.242 +0000
91,27,12,2024-12-16 15:57:05.986 +0000
9427,1589,1333,2025-01-23 14:53:35.509 +0000
93,8,27,2024-12-16 15:57:05.986 +0000
94,8,28,2024-12-16 15:57:05.986 +0000
95,15,27,2024-12-16 15:57:05.986 +0000
9599,417,1028,2025-01-24 17:31:43.664 +0000
97,15,26,2024-12-16 15:57:05.986 +0000
98,15,21,2024-12-16 15:57:05.986 +0000
99,29,1,2024-12-16 15:57:05.986 +0000
100,29,23,2024-12-16 15:57:05.986 +0000
