"id","profile_id_1","profile_id_2","channel_url","created_at"
2357,3172,4159,sendbird_group_channel_509526762_3128fca29a8103f849c652fa3899a7dbda734f81,2025-03-19 20:17:04.497 +0000
2358,4159,3172,sendbird_group_channel_509526762_3128fca29a8103f849c652fa3899a7dbda734f81,2025-03-19 20:17:04.497 +0000
2359,3734,388,sendbird_group_channel_464551116_c7c3fd779e65ca68727e30179cf5a78ae1dd66e7,2025-03-20 12:46:10.824 +0000
2360,388,3734,sendbird_group_channel_464551116_c7c3fd779e65ca68727e30179cf5a78ae1dd66e7,2025-03-20 12:46:10.824 +0000
2409,370,4340,sendbird_group_channel_463630346_6d43a0562d256b053591b623497dd6a5416084e2,2025-03-24 23:23:35.542 +0000
2410,4340,370,sendbird_group_channel_463630346_6d43a0562d256b053591b623497dd6a5416084e2,2025-03-24 23:23:35.542 +0000
2427,2769,388,sendbird_group_channel_505129935_7997f95a1a60f5b41783cb40838472aa7957df24,2025-03-25 14:22:33.203 +0000
2428,388,2769,sendbird_group_channel_505129935_7997f95a1a60f5b41783cb40838472aa7957df24,2025-03-25 14:22:33.203 +0000
2361,260,4148,sendbird_group_channel_457078949_55c2da72f95ea57b7112edd5c62560cdace417fd,2025-03-21 11:48:23.313 +0000
2362,4148,260,sendbird_group_channel_457078949_55c2da72f95ea57b7112edd5c62560cdace417fd,2025-03-21 11:48:23.313 +0000
